,address,advantage,city,company_name,education,industry,industrylabels,label,position_detail,position_name,salary,size,stage,work_year
11,,"期权,团队扁平,快速发展",成都,成都超有爱科技有限公司,本科,"移动互联网,教育","['教育', 'Java', '算法', '数据挖掘']","['股票期权', '年底双薪', '管饭！', '超爱学习']","
职位描述：

岗位职责：

1、对用户学习行为进行分析、特征抽取和建模，优化学习策略；
2、结合机器学习、数据挖掘等技术，设计和构建科学的英语测评体系；
3、探索机器学习服务于在线教育行业的前沿技术。

岗位要求：

1、本科及以上学历，扎实的计算机基础，精通算法、数据结构；
2、熟悉C、C++等某种或多种语言，熟悉常用的机器学习算法模型；
3、沟通能力强，乐于进行团队合作，执行力强，有责任心。

薪资福利：

20k~40k（13个月）
MBP + Dell U2713HM 罗技（Logitech）K120键盘
1、真实可靠的期权，一不小心就变富富富了有没有；
2、免费三餐（餐标60/天），号称软件园餐标最高的地儿；
3、六险一金，公司额外购买两人份商业保险；
4、入职kindle paperwhite + 500元亚马逊读书卡；
5、每年爱康国宾超豪华体检包一份（还可以带上你的TA）；
6、全年健身卡，好好锻炼你的右臂吧；
7、周三、周四晚包场的内部羽毛球和篮球；
8、超多节假日小礼品，什么元祖的粽子七夕的巧克力啦；
9、定期的团队建设（我们去过太子岭滑雪，去过青城山住别墅，去过海螺沟看雪山）；
10、上班时间自由不打卡，管理扁平，觉得CEO桌子不错可以直接过去搬过来用。

",机器学习工程师,20k-40k,150-500人,D轮及以上,1-3年
12,['上地'],"前沿公司,大平台",北京,深思考人工智能机器人科技（北京）有限公司,硕士,"移动互联网,企业服务","['硬件制造', '数据挖掘']","['股票期权', '弹性工作', '领导好', '管理规范']","
职位描述：

岗位职责：
1、结合数据挖掘传统算法，机器学习浅层算法，深度学习深层算法在人工智能领域的产品中进行分类和预测；
2、以上算法在图像识别、自然语言处理、舆情分析、语音识别等人工智能方面的应用；
3、以上算法在高性能云计算服务器上的并行化和优化工作。
任职要求：
1、硕士及以上学历，计算机相关专业毕业；
2、对机器学习的一般模型如分类、聚类、关联分析、预测等模型熟悉（LR，CART，SVM，NN，Bayesian，PCA，LDA等），理解一些常用的特征选择和矩阵分解的算法；
3、熟悉深度神经网络和常用的模型,如RBM、CNN、DBN、Sparsecoding、RNN等，对常用的开源实现,如Caffe、Theano或ConvNet等有实践经验者优先考虑；
4、熟悉深度神经网络在图像识别、自然语言处理方面的应用，有文本处理方面的经验者优先考虑；
5、熟悉大规模并行计算的基本原理并具有实现并行计算算法的基本能力，熟悉Hadoop或者Spark架构者优先考虑，有过基于GPU指令的算法优化经验者优先考虑；
6、良好的英文阅读能力，跟踪学术界和工业界的最新研究成果，并可以通过编程语言（C、C++、java、Python、Matlab）来编程实现，有编程实现过近几年深度学习相关论文算法者着重考虑；
7、有创造性的思维，敢于超越技术极限，致力于研发一流的技术和产品；
8、具有良好的沟通能力，和良好的团队合作精神。

",机器学习与算法工程师/研究员,15k-30k,50-150人,A轮,不限
13,"['朝外', 'CBD']","五险一金,绩效奖金,节日福利,医疗保险",北京,阳光保险集团股份有限公司,本科,金融,"['大数据', '金融', 'Java', '算法']","['绩效奖金', '五险一金', '通讯津贴', '交通补助']","
职位描述：

岗位职责
1. 利用机器学习方法解决金融领域的实际业务问题；
2. 研究非结构化数据在信贷风控领域中的应用；
3. 探索深度学习、增强学习、迁移学习等技术在金融业务的应用；
4. 跟踪人工智能前沿技术，在实际业务中尝试应用；
岗位任职条件：
1. 计算机/数学/统计/金融或相关领域学位，统招本科及以上学历；
2. 扎实的算法、编程、数理基础，熟练使用Java、Python中的至少一种编程语言；
3. 熟悉常用的机器学习、深度学习算法，有实践经验者优先；
4. 熟悉中国市场信贷、股票、债券、基金等产品和规则，有量化相关从业经历者优先；
5. 具备大数据处理能力，有分布式环境下非结构化数据处理经验者优先；
6. 善于学习，思维活跃，乐于挑战，有良好的沟通表达能力和团队精神；
7.拥有至少两年机器学习工作经验，金融建模方向优先。

",机器学习工程师,20k-40k,2000人以上,不需要融资,1-3年
14,,"国际化团队, 高层写字楼, 完善的福利",西安,西安星垂智能科技有限公司,本科,"移动互联网,人工智能",[],"['带薪年假', '弹性工作', '健身房福利', '扁平管理']","
职位描述：

星垂智能 ZENO 是一家总部在西安的科技创业公司，由连续创业者们创立，创始人们曾在美国，阿联酋等地工作和创业。目前 ZENO 处于影藏模式中，已经获得来自阿联酋，加拿大和新加坡的客户。公司位于西安，并在迪拜设有分公司。
公司提供完善的福利制度和行业内 Top 5% 的薪资。我们期望新同事拥有良好的英文沟通能力，对新技术的敏锐性和对新鲜事物的好奇心。
薪资福利1. 初级工程师 18k, 中级工程师 20k, 高级工程师 25k 起，可以沟通，保证市场上前 5% 的薪水2. 五险一金以及其他法律规定的员工基础福利3. 每年至少一次的国外旅行或者到其他国家办公室访问机会4. 产假（无论性别）5. 健身房会员6. 其他人性化的福利政策
岗位职责1、利用机器学习或深度学习技术进行前沿人工智能技术研发2、负责图像识别、语义理解、语音识别相关的算法研究3、负责人工智能算法项目实施及优化4、对业界新应用和技术进展进行跟踪研究5、负责或参与AI团队的建设和管理
工作要求1、本科及以上学历，计算机、数学、统计等相关专业优先2、精通人工智能领域相关理论和算法，并具备丰富的项目实践经验3、熟悉大规模数据分析技术，掌握机器学习的相关技术?4、熟悉最新的深度学习和机器学习算法，精通自然语言处理者优先5、具有快速学习能力，能够高效使用各种新的技术和框架6、工作主动性强，勇于挑战和创新7、有带团队经验和能力，沟通表达能力和分析解决问题能力强8、在CVPR、 ECCV、 NIPS等计算机视觉顶级会议上发表过论文者优先考虑

",机器学习工程师,18k-25k,15-50人,不需要融资,3-5年
15,['中关村'],发展空间大，集团资金支持,北京,北京灏博大数据科技有限公司,硕士,"数据服务,人工智能","['大数据', '企业服务', '人工智能', '数据挖掘']","['绩效奖金', '交通补助', '定期体检', '带薪年假']","
职位描述：

岗位职责：
1.? 参与客户的数据挖掘建模分析项目，能独立完成从数据提取、特征工程、算法实现的全套流程；
2.? 形成算法积累，参与数据模型类产品（风控、精准营销系统）的研发。
岗位要求：
1.? 统招全日制硕士及以上学历，数学、统计、计算机等专业；
2.? 扎实的理论和算法基础，深刻理解常用的机器学习模型（LR／SVM／RF／GBDT等），能够明确客户目标和提出相应的解决方案；
3.? 至少熟练掌握一门编程语言和快速编码能力（Python、Scala）；
4.? 做事严谨踏实，学习能力强，有一定的独立思考和沟通能力。
加分项：
1.? 参加过Kaggle、KDD Cup等竞赛且排名靠前，或者国内外期刊会议发表论文；
2.? 具有分布式平台搭建和应用的经验（Hadoop、Spark等）。

",机器学习工程师,15k-30k,15-50人,不需要融资,1-3年
16,['张江'],"发展空间,薪资给力,期权",上海,上海腾聘企业管理咨询有限公司,硕士,"移动互联网,数据服务",['移动互联网'],"['年底双薪', '绩效奖金', '年终分红', '交通补助']","
职位描述：

1. 负责用户画像，推荐算法和机器学习平台的搭建;2. 改进产品的资讯内容推荐系统，优化用户的阅读体验;岗位要求1、2年以上互联网工作经验，对广告、推荐系统等任何一个领域有实践经验；2、对机器学习系统有一定了解；熟悉最优化的基础理论，能够将业务问题转化成相关的优化问题并求解，深刻理解并独立实现过相关算法（回归、决策树、分类问题、深度神经网络、图模型，概率统计，最优化方法等）3、熟悉常用数据结构，具备扎实的算法基本功，熟悉C++、Python、go等编程语言；编程能力强，代码爱好者加分。4、良好的业务理解能力和逻辑思维能力，能够从海量数据中发现关键特征，出色的问题分析及解决能力base上海广兰路或者北京苏州街

",推荐算法/广告算法/机器学习,35k-70k,50-150人,B轮,3-5年
17,"['大冲', '科技园', '科技园', '大冲']","大数据风控,技术创新,发展空间大",深圳,深圳白骑士大数据有限公司,本科,"企业服务,金融","['大数据', '金融', '算法']","['专项奖金', '大数据', '反欺诈', '带薪年假']","
职位描述：

岗位职责：
1.结合数据挖掘，机器学习，深度学习算法，在金融进行分类和预测；
2.以上算法在反欺诈，信用分析，舆情分析等方面的应用；
3.以上算法在云计算服务器上的并行化和优化工作。

任职要求：
1.本科及以上学历，计算机相关专业，两年以上相关工作经验；
2.熟悉机器学习的一般模型如分类（LR，NBM，DT，SVM等）、聚类（DBSCAN，K-MEANS），理解一些常用的数据预处理（Normalize, Regularize），特征选择（PCA, LDA）和矩阵分解的算法；
3.熟悉深度神经网络和常用的模型,如RBM、DBN、CNN、RNN、LSTM等，对常用的开源实现,如Tensorflow、Theano等有实践经验者优先考虑；
4.熟悉Hadoop或者Spark架构者优先考虑，有过基于GPU指令的算法优化经验者优先考虑，熟悉python有限考虑；
5.有数学建模比赛获奖记录者优先，有数据挖掘比赛记录（如KAGGLE、天池大数据竞赛）优先；
6.良好的英文阅读能力，跟踪学术界和工业界的最新研究成果，并可以通过编程语言（C、C++、java/scala、Python）来编程实现，有编程实现过近几年深度学习相关论文算法者着重考虑；
7.有创造性的思维，敢于超越技术极限，致力于研发一流的技术和产品；
8.具有良好的沟通能力和良好的团队合作精神。

",机器学习工程师,15k-25k,50-150人,A轮,1-3年
18,,人工智能、人脸识别,深圳,深圳市华付信息技术有限公司,硕士,"移动互联网,硬件",[],"['年底双薪', '绩效奖金', '午餐补助', '定期体检']","
职位描述：

工作内容：1、负责计算机视觉&机器学习（包括深度学习算法的开发与性能提升），负责下述研究课题中的一项或多项，包括但不限于：人脸检测、人脸关键点检测、人脸识别、人脸属性、活体检测、OCR等；2、推动计算机视觉&机器学习算法在众多实际应用领域的性能优化和落地；3、 提出和实现最前沿的算法，保持算法在工业界和学术界的领先。任职要求：1、硕士及以上学历，计算机、数学等相关专业；2、熟练掌握计算机视觉、深度学习的基本方法；3、较强的算法实现能力，熟练掌握 C/C++ 编程，熟悉 Shell/Python/Matlab 编程之一;4、具有丰富的深度学习框架（如Caffe，TensorFlow，MXNet，Torch）应用经验；5、优秀的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情；6、良好的沟通能力和团队合作能力。

",计算机视觉/机器学习工程师,20k-40k,150-500人,不需要融资,1-3年
19,,"弹性工程,发展空间,五险一金",上海,上海众言网络科技有限公司,本科,移动互联网,[],"['技能培训', '节日礼物', '年底双薪', '绩效奖金']","
职位描述：

【岗位职责】
通过机器学习、深度学习等技术，解决推荐系统、反作弊等相关问题。
【任职要求】
1、 计算机及相关专业硕士及以上学历；
2、 熟练掌握Java(或Scala)，熟悉Python；
3、 较强的工程能力，两年以上机器学习相关工作经验；
4.、对机器学习、深度学习理解透彻，熟悉常用的模型；
5、对数据敏感，分析数据、抽象问题、理解并解决问题，对使用机器学习解决实际问题有极强的热情；?
7、优秀的沟通与表达能力及较强的自我驱动能力；
8、有广告行业经验、搭建过大型推荐系统、对PredictionIO有实际经验的优先

",机器学习工程师,15k-30k,150-500人,B轮,1-3年
20,['西兴'],"股权激励,硅谷团队,前沿技术,双休",杭州,浙江天垂科技有限公司,硕士,"数据服务,企业服务",[],"['全新MAC', '24+显示器', '硅谷工作机会', '股票期权']","
职位描述：


负责Predictive Maintenance产品的算法开发，参与智能工业物联网平台建设
选择适合的机器学习算法、AI算法、特别是深度学习算法解决实际问题
配合工程师将算法集成到软件产品中，并为客户带来价值


任职要求：

计算机、数学、统计、化工、机械等相关专业硕士，博士优先
强大的数学知识背景（线性代数，微积分，概率统计）
有机器学习实战经验（如regression analysis, time series, probabilistic models, supervised classification and unsupervised learning等）
有深度学习经验 （DNN)
有MapReduce、Streaming经验
擅长Python或者R语言
善于沟通，并可以独立思考完成任务的能力


加分项：

国内外一流学校毕业
有JAVA或Scala经验
化工或者机械等相关专业背景
在Github上有上传代码或demo


",数据科学家/机器学习工程师,25k-50k,15-50人,天使轮,1-3年
21,,"快速成长,待遇丰厚,团队优秀",深圳,深圳无觅科技有限公司,本科,"移动互联网,金融",[],"['高速增长', '股票期权', '小而精', '扁平管理']","
职位描述：

岗位描述:
1.负责模型的优化和上线，监控模型关键指标，发现和优化模型存在问题。
2.程序性能优化，提升CPU/GPU利用率，以及深度学习分布式计算的框架搭建优化工作。
3.移动端性能优化

岗位要求:
1.熟练掌握深度学习各项技能，CNN，LSTM，Attention等
2.熟悉各种深度学习框架，keras, pytorch, tensorflow,有实际应用的优先
3.熟悉自然语言处理，文本挖掘，topic model等，对其中某方面核心算法理解透彻，有实际建模经验者或者并行化经验者优先；
4.熟悉python、Java等编程语言

",机器学习工程师,25k-50k,150-500人,B轮,3-5年
